Offer_Score,Claim_Amt,Current_Premium,Car_Price,LoanReason,JobType,Car_Age,DerogatoryMarks,Delinquencies,CredLineAge,Inquiries,CredLines,Rating_Category,CustID
1,5000,,9100,HomeImp,Other,1,0,0,54.73333333,2,8,,AUS01755
1,5000,,71277,HomeImp,Other,10,0,0,72.43333333,1,12,,AUS01818
1,5000,123000,157500,HomeImp,Mgr,9,,,,,,,AUS01820
1,5000,,52000,HomeImp,Other,,0,1,285.3333333,0,6,,AUS01829
1,5000,6000,38575,HomeImp,Self,7,0,1,335.0333333,3,42,,AUS01884
1,5000,,74500,HomeImp,Other,19,,,,,,,AUS00172
0,5000,72517,86250,DebtCon,Mgr,19,0,1,300.3666667,1,24,,AUS00212
0,5000,39000,50340,HomeImp,Office,10,,,179.8333333,,19,,AUS00309
0,5000,74225,89640,DebtCon,ProfExe,0.3,,,,,,,AUS00359
0,5000,,65400,HomeImp,Office,1.5,0,0,51.76666667,0,4,,AUS00418
1,5000,81748,,DebtCon,ProfExe,14,1,2,144.0666667,2,17,,AUS00499
0,5000,80153,97275,DebtCon,Other,1,0,0,120.6750632,2,10,37.51270841,AUS00565
0,5000,68739,93435,,Mgr,3,0,0,148.7204047,0,23,36.66927861,AUS00581
0,5100,179725,251962,DebtCon,Sales,,0,0,127.4988134,0,22,40.30825936,AUS00635
0,5100,72891,80691,HomeImp,Other,1,1,0,273.8817052,0,6,39.85214652,AUS00644
0,5100,87258,121382,HomeImp,ProfExe,6,0,0,181.6630402,0,28,25.44475915,AUS00657
1,5100,9900,30451,HomeImp,Other,11,0,0,21.2,0,2,,AUS00688
1,5100,129319,141875,HomeImp,Sales,7,1,0,157.8598021,0,36,25.65074122,AUS00699
0,5100,73882,96031,DebtCon,Other,0,0,0,125.7874001,1,10,34.44607922,AUS00735
0,5200,67000,77000,HomeImp,Other,9,0,1,119.7,0,25,,AUS00782
0,5200,43039,53521,HomeImp,Office,11,,,184.2966873,,19,24.41476318,AUS00803
1,5200,,9500,DebtCon,Other,1,0,1,81.1,1,2,,AUS00805
0,5200,91250,110000,HomeImp,Office,24,0,0,123.7666667,1,12,,AUS00883
0,5300,73698,84427,DebtCon,,4,,,,,,19.13120118,AUS00902
0,5300,66987,65111,HomeImp,Sales,4,1,0,175.3287038,1,22,40.44257039,AUS00934
0,5300,,49396,HomeImp,,0,0,0,,0,0,12.04367058,AUS01014
0,5300,44993,50673,HomeImp,Office,7,,,184.7427672,,18,27.90612273,AUS01029
0,5300,97132,117343,HomeImp,Office,22,0,0,109.9339079,1,11,35.8385427,AUS01071
0,5300,47449,63895,HomeImp,Office,19,0,0,208.162714,0,20,19.7621137,AUS01187
0,5400,47844,52040,HomeImp,Office,8,,,189.0343046,,18,24.70113626,AUS01250
1,5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,,AUS01254
0,5400,86922,119846,HomeImp,ProfExe,5,0,0,185.0763473,1,28,26.3548893,AUS01320
1,5400,78300,88000,HomeImp,ProfExe,8,0,0,102.5,3,19,,AUS01333
0,5400,48152,55760,DebtCon,,6,,0,78.45212577,,16,35.763638,AUS01375
0,5500,,35402,HomeImp,,,,,,,,35.27207374,AUS01434
0,5500,52897,65054,HomeImp,Office,20,0,0,189.2953185,0,19,20.6541289,AUS01537
0,5500,43486,81600,DebtCon,,4,0,0,216.1333333,4,30,,AUS01569
0,5500,87438,116679,HomeImp,ProfExe,6,0,0,186.424416,1,27,28.4175309,AUS01573
0,5500,72147,69918,HomeImp,Sales,4,2,0,158.5344979,0,23,43.40443024,AUS01615
1,5500,,12972,HomeImp,Other,1,0,1,82.29426635,0,2,36.9867441,AUS01620
1,5500,37368,48502,HomeImp,Mgr,9,0,2,48.995845,0,10,33.12648397,AUS01670
1,5500,85845,122205,DebtCon,ProfExe,5,0,0,172.2132767,1,26,32.67664088,AUS01761
0,5600,53793,66379,HomeImp,Office,22,0,0,206.0991341,0,19,18.36954053,AUS00001
0,5600,29648,39907,HomeImp,ProfExe,11,0,0,180.5630691,0,13,21.55494966,AUS00003
1,5600,55160,86800,HomeImp,Other,3,1,1,148.1333333,1,14,,AUS00007
0,5600,41439,53893,HomeImp,Office,8,,,181.3229899,,19,24.65139574,AUS00008
0,5700,49514,58249,HomeImp,Office,21,0,0,212.5391151,0,21,21.25802688,AUS00009
0,5700,28127,36524,HomeImp,ProfExe,10,0,0,181.2829568,0,13,24.33953357,AUS00015
0,5700,26927,35461,DebtCon,Other,0,1,0,21.79935215,10,6,29.43966424,AUS00016
0,5700,49806,82242,DebtCon,,3,0,0,210.3474786,3,30,31.2434087,AUS00017
1,5700,58400,75000,HomeImp,ProfExe,4,0,0,177.5,2,26,,AUS00019
0,5700,62319,82923,HomeImp,Other,4,0,0,117.6739652,0,15,42.46486629,AUS00020
0,5700,71556,79538,HomeImp,Other,2,0,0,92.64308456,0,15,41.21001247,AUS00024
0,5700,,69172,HomeImp,Office,1,0,0,48.85366706,0,3,38.77368596,AUS00024
0,5800,,36385,HomeImp,Other,2,0,0,266.5533944,1,25,43.30976454,AUS00026
0,5800,46595,58191,HomeImp,Other,5,0,0,80.13174641,0,17,24.14015367,AUS00028
1,5900,,28000,DebtCon,Self,1,2,1,36.76666667,1,8,,AUS00028
0,5900,74187,78976,HomeImp,Other,9,0,1,118.442491,0,24,40.11040743,AUS00032
0,5900,,66903,,,,,,,,,32.78292683,AUS00032
1,5900,106650,,DebtCon,Mgr,1,0,6,250.5666667,4,23,,AUS00034
0,6000,95232,115977,HomeImp,Office,22,0,0,149.0229081,1,12,37.95433691,AUS00038
1,6000,47625,85925,HomeImp,Office,0.1,2,1,154.1333333,4,26,,AUS00039
1,6000,65000,94355,,Other,26,1,3,69.3,1,34,,AUS00043
1,6000,,,HomeImp,Office,13,,2,122.7666667,,23,,AUS00045
1,6000,42000,58305,DebtCon,Other,19,0,0,90,2,13,,AUS00045
1,6000,9660,35900,DebtCon,Other,8,0,1,136.3,3,6,,AUS00049
1,6000,22859,32200,DebtCon,Other,4,0,0,83.33333333,3,20,,AUS00049
1,6000,16878,25850,,Mgr,1,0,1,218.6,5,34,,AUS00051
0,6000,69876,94394.07,HomeImp,Other,0,0,1,179.5666667,0,32,,AUS00053
0,6000,,43300,HomeImp,Other,,,,100.9333333,,9,,AUS00057
0,6000,14000,61493,HomeImp,Office,23,0,0,321.6333333,1,13,,AUS00058
1,6000,40000,54600,HomeImp,ProfExe,4,0,4,101.4,0,19,,AUS00060
1,6000,18793,27750,HomeImp,Mgr,6,0,3,119.7,0,8,,AUS00062
1,6000,179397,200000,DebtCon,ProfExe,5,6,0,90.3,6,29,,AUS00065
0,6000,79046,103048,HomeImp,Other,0,0,0,181.696538,0,32,37.28998992,AUS00068
0,6000,,53190,HomeImp,,0,0,0,,0,0,15.174415,AUS00069
1,6000,,43683,HomeImp,Other,,,,,,,21.93549881,AUS00070
0,6000,129731,154113,HomeImp,ProfExe,12,0,0,213.5333333,0,19,,AUS00073
0,6100,48500,62500,DebtCon,Mgr,7,,4,111.3,2,11,,AUS00076
0,6100,,35250,HomeImp,Other,,,,303,,12,,AUS00081
0,6100,79636,87276,HomeImp,Other,20,0,0,350.4361376,0,47,28.84827658,AUS00083
0,6100,,46830,HomeImp,,0,0,1,,0,0,13.30601308,AUS00085
0,6200,171582,245730,DebtCon,Sales,,0,0,135.1089303,0,22,39.78381813,AUS00087
0,6200,,80078,,,,,,,,,25.37554416,AUS00089
0,6200,70793,71552,HomeImp,Sales,3,2,0,162.9451569,0,23,40.31539659,AUS00090
0,6200,73881,98550,HomeImp,Other,0,0,1,182.8787798,0,31,37.19944569,AUS00091
0,6200,75121,96462,DebtCon,ProfExe,0,,,,,,27.16765596,AUS00094
0,6200,75623,89634,HomeImp,Other,24,0,0,324.6868294,0,47,28.2855321,AUS00096
0,6200,45564,61956,HomeImp,Other,2,0,,101.1670603,,13,38.67514015,AUS00098
0,6300,,72890,HomeImp,Office,1,0,0,41.25011359,0,3,39.19806822,AUS00102
0,6300,44226,57779,DebtCon,,7,,0,63.62641325,,16,33.11182911,AUS00106
1,6300,65875,76000,DebtCon,Mgr,0.8,2,0,84,1,12,,AUS00106
0,6300,45582,89005,DebtCon,,2,0,0,209.3580469,4,30,29.59595551,AUS00110
0,6300,49498,64296,DebtCon,Mgr,6,,4,111.2065132,1,10,38.57713194,AUS00110
0,6300,79667,96988,DebtCon,ProfExe,1,,,,,,29.83596072,AUS00112
1,6300,12476,32559,HomeImp,Office,12,3,6,227.1299051,0,23,23.31951678,AUS00114
0,6300,26655,29792,DebtCon,Other,1,1,0,12.75926745,10,6,28.36185178,AUS00117
0,6400,76577,83200,DebtCon,,5,,,,,,22.05503421,AUS00119
0,6400,53476,70157,DebtCon,ProfExe,7,0,3,164.3154099,1,30,21.13798157,AUS00123
0,6400,81116,86148,HomeImp,ProfExe,8,0,0,262.1754261,0,11,42.06826818,AUS00123
0,6400,17491,63614,HomeImp,Office,23,0,0,325.2993087,0,12,40.24440437,AUS00125
0,6400,65215,74332,HomeImp,Mgr,9,,1,213.8321032,0,24,40.64461955,AUS00127
0,6400,70035,78635,DebtCon,Sales,3,0,0,147.0771635,0,31,31.20612976,AUS00127
0,6400,51436,91284,DebtCon,,4,0,0,209.6428984,2,30,31.97197121,AUS00131
0,6400,44968,62747,HomeImp,Other,0,1,,101.3914453,,12,36.60294734,AUS00134
0,6400,28041,33438,DebtCon,Other,1,1,0,10.42564285,10,6,29.75370028,AUS00135
0,6500,63144,76754,HomeImp,Mgr,2,0,2,129.0777116,0,23,29.05543313,AUS00136
1,6500,48000,61000,DebtCon,Other,1,1,0,97.2997561,6,38,,AUS00139
0,6500,55000,88300,HomeImp,Office,29,0,0,234.4,1,17,,AUS00142
0,6500,81145,117530,HomeImp,Office,29,0,0,327.2006385,1,38,34.34583769,AUS00143
0,6600,62380,89742,HomeImp,Office,31,0,0,232.5272907,0,16,26.16049489,AUS00146
0,6600,,48800,HomeImp,,0,0,0,,0,0,12.21943615,AUS00148
0,6600,98415,126636,HomeImp,Other,11,,,423.2096241,2,49,40.95709032,AUS00150
0,6700,,55396,,,,,,,,,15.70399156,AUS00151
0,6700,55113,56486,HomeImp,Other,4,0,0,84.41703046,0,17,23.64285383,AUS00153
0,6700,,30544,DebtCon,Other,2,0,0,283.8972313,0,14,24.12045156,AUS00155
0,6700,58741,68225,DebtCon,ProfExe,9,0,3,173.5744163,1,31,23.58701323,AUS00157
0,6700,69773,83014,HomeImp,Other,0,1,0,263.1734343,0,5,37.70699649,AUS00159
0,6700,66587,70710,DebtCon,ProfExe,9,1,0,43.92338263,1,24,39.73857627,AUS00159
0,6800,49809,65074,DebtCon,Mgr,7,,4,116.6327333,3,10,39.21502891,AUS00161
0,6800,139578,154602,HomeImp,ProfExe,12,0,0,201.9608343,0,18,22.32582879,AUS00164
0,6800,76074,88178,HomeImp,Other,22,0,0,341.4650556,0,46,27.52324614,AUS00165
0,6800,56155,57912,HomeImp,Office,21,0,0,206.3063213,0,20,21.79851308,AUS00167
0,6800,178559,247611,DebtCon,Sales,,0,0,127.2341411,0,22,42.08390168,AUS00168
0,6800,,72310,HomeImp,Office,1,0,0,48.81883648,0,3,40.78739323,AUS00169
0,6800,75964,88754,DebtCon,Mgr,19,0,1,298.7004822,0,23,39.10750164,AUS00171
0,6900,75880,113612,DebtCon,Office,1,0,0,230.8055881,1,38,17.96588344,AUS00174
1,6900,5816,,HomeImp,Mgr,23,0,2,67.8,1,18,,AUS00176
1,6900,57257,63752,DebtCon,Other,10,2,0,138.234778,0,22,38.37246088,AUS00176
1,6900,37055,83000,HomeImp,Sales,1,0,0,122.2666667,2,43,,AUS00178
0,6900,,57067,,,,,,,,,14.37098595,AUS00182
0,6900,49932,66042,HomeImp,Office,20,0,0,204.4845828,0,19,21.85549413,AUS00184
0,6900,51384,84689,DebtCon,,4,0,0,224.2470369,3,29,30.52615072,AUS00188
0,7000,,47462,HomeImp,Other,,,,102.6573271,,9,36.09407143,AUS00191
1,7000,66000,86300,DebtCon,Other,3,1,1,242.4333333,0,8,,AUS00192
0,7000,58843,75300,HomeImp,Other,1.5,0,0,103.6666667,0,7,,AUS00193
0,7000,29000,49000,DebtCon,Other,11,0,0,234.4,1,32,,AUS00195
0,7000,56636,76353,HomeImp,Other,15,0,0,229.3,1,36,,AUS00196
0,7000,55000,63000,HomeImp,Other,5,0,0,84.73333333,3,20,,AUS00199
1,7000,83000,97635,HomeImp,Other,5.6,3,0,141,0,10,,AUS00200
0,7000,58114,93391,HomeImp,ProfExe,6,0,0,200.0777551,1,24,31.73651179,AUS00205
1,7100,39000,55000,,Other,12,0,1,192.7666667,2,31,,AUS00205
1,7100,54000,74800,DebtCon,Mgr,7.5,1,1,71,4,18,,AUS00020
0,7100,,74753,HomeImp,Office,2,0,0,48.85464465,0,4,41.3025469,AUS00030
0,7100,25896,33580,DebtCon,Other,1,0,0,29.85636517,9,7,28.27147416,AUS00036
0,7100,57863,70969,DebtCon,Other,0,0,0,65.87204481,7,21,26.82949019,AUS00055
0,7100,53273,54378,HomeImp,Other,5,0,0,84.83724997,0,17,22.86119965,AUS00061
0,7200,57912,84806,HomeImp,Other,15,0,0,241.5142498,0,35,35.06267566,AUS00064
0,7200,79946,113807,DebtCon,Office,1,0,0,238.458825,0,37,18.61728869,AUS00093
0,7200,36264,48240,DebtCon,Other,15,0,0,82.16666667,0,12,,AUS00108
1,7200,46000,67000,DebtCon,Other,24,0,0,142,1,14,,AUS00115
0,7200,,38061,HomeImp,Other,,,,299.7527261,,12,31.88003318,AUS00121
0,7200,71667,117325,DebtCon,Office,0,0,1,241.0560781,1,38,18.51055133,AUS00004
1,7200,,76723,HomeImp,Other,10,0,0,70.19389019,0,11,41.25070626,AUS00005
0,7200,71509,86484,DebtCon,,4,,,,,,20.09904978,AUS00012
1,7300,58671,87975,HomeImp,Mgr,3,0,0,74.06666667,1,16,,AUS00047
1,7300,60890,75785,DebtCon,Other,6,0,1,45.96666667,0,13,,AUS00066
0,7300,139348,205981,DebtCon,ProfExe,1,0,0,60.42476076,2,22,36.81229063,AUS00082
0,7400,88288,119677,HomeImp,ProfExe,5,0,0,194.37214,1,27,26.64608364,AUS00086
0,7400,48924,86612,DebtCon,,4,0,0,207.7684144,4,30,29.93791783,AUS00102
0,7400,,54138,HomeImp,,1,0,0,,0,0,12.21967996,AUS00114
0,7400,56596,72861,HomeImp,Mgr,3,0,1,141.9621493,0,23,28.30024564,AUS00129
0,7400,65032,83184,HomeImp,Other,15,0,0,230.4202559,1,35,35.41511292,AUS00133
0,7400,72739,91425,DebtCon,ProfExe,3.5,0,0,128.8333333,0,26,,AUS00256
1,7500,,51610,HomeImp,ProfExe,4,0,3,158.2666667,2,18,,AUS00264
0,7500,45864,57799,DebtCon,,7,,0,65.57119786,,16,33.86574535,AUS00269
0,7500,,49804,,,,,,,,,12.39123504,AUS00277
0,7500,88056,104794,DebtCon,ProfExe,25,0,0,56.75011314,2,14,30.53890697,AUS00287
0,7500,11358,36892,DebtCon,Other,5,0,0,286.9228238,0,11,23.06292573,AUS00294
1,7500,59000,72000,HomeImp,Office,5,0,3,295.8666667,0,19,,AUS00298
1,7500,,,HomeImp,Other,21,,,158.9,1,21,,AUS00330
1,7500,35945,49750,HomeImp,Other,3,0,0,122.0666667,0,23,,AUS00366
1,7500,63500,86125,HomeImp,Other,5,0,0,136.1,0,8,,AUS00391
1,7500,33600,50125,DebtCon,Other,2,0,0,146.9333333,0,18,,AUS00400
1,7500,60000,87830,HomeImp,Other,5,0,0,153.2666667,2,16,,AUS00461
0,7500,,26850,HomeImp,Office,20,0,0,185.6333333,1,16,,AUS00494
0,7500,49100,85650,HomeImp,Other,18,0,0,178.3346667,0,29,,AUS00549
1,7500,39600,42000,DebtCon,Self,1,0,0,47.7,1,15,,AUS00551
1,7500,42077,91676,HomeImp,Office,5.5,1,4,344.9,1,30,,AUS00568
1,7500,,,HomeImp,Other,20,,,157.3284228,0,20,,AUS00602
0,7500,67778,83368,DebtCon,ProfExe,15,0,0,227.2920898,0,17,24.09177036,AUS00627
0,7500,60192,76475,DebtCon,ProfExe,8,0,0,60.50362521,2,24,39.28051238,AUS00639
0,7600,77518,83727,DebtCon,,4,,,,,,22.65514029,AUS00655
0,7600,48829,62357,DebtCon,Office,3,0,1,92.94135782,2,12,35.67227361,AUS00670
0,7600,,28593,HomeImp,Office,20,0,0,180.1689373,0,16,35.58340317,AUS00722
0,7700,14776,32287,,,,,,,,,34.88046232,AUS00796
0,7700,53377,86018,HomeImp,Other,16,0,0,187.1940112,0,28,24.21765848,AUS00824
1,7700,14589,33100,DebtCon,Other,3,0,7,122.0666667,0,22,,AUS00036
0,7700,76056,83643,HomeImp,Other,22,0,0,353.1956285,0,47,28.54452887,AUS00041
0,7800,44000,57500,DebtCon,Other,11,0,0,95.36666667,0,23,,AUS00053
1,7800,,11702,HomeImp,Other,0,0,0,44.62959157,2,7,21.27178537,AUS00057
0,7800,58399,65945,DebtCon,Other,1,0,1,106.6313416,2,18,37.02476444,AUS00079
0,7800,64503,85608,HomeImp,Other,12,0,0,235.4853772,0,35,34.42324885,AUS00095
0,7800,69662,80498,HomeImp,Other,4,0,0,100.428331,0,14,42.80734195,AUS00100
0,7800,55000,62800,HomeImp,Other,6,0,0,123.0333333,0,34,,AUS00104
0,7800,109000,123500,DebtCon,Self,6,0,1,174.4666667,0,19,,AUS00118
0,7800,53243,95065,HomeImp,ProfExe,7,0,0,220.8024443,2,24,31.82762682,AUS00131
1,7900,126919,166566,HomeImp,Mgr,10,,,,,,,AUS00140
0,7900,40827,55757,DebtCon,Other,14,0,0,87.60346244,0,11,31.8505639,AUS00147
0,7900,,71519,HomeImp,Office,0,0,0,55.87386022,0,4,38.3750913,AUS00172
1,7900,55383,70020,DebtCon,Other,12,2,0,80.7789415,10,8,44.85897732,AUS00180
0,7900,41935,53543,DebtCon,Office,8,0,0,203.54461,1,22,31.4916868,AUS00180
0,8000,45557,56235,DebtCon,,7,,1,84.69113488,,16,36.50316075,AUS00184
0,8000,61565,87624,DebtCon,ProfExe,14,0,0,203.9971364,0,17,23.56256501,AUS00186
0,8000,82547,105361,DebtCon,ProfExe,24,0,0,52.59326412,2,13,32.16092259,AUS00188
0,8000,70546,81272,DebtCon,Sales,4,0,0,119.066922,0,31,33.3615863,AUS00197
0,8000,177683,251771,DebtCon,Sales,,0,0,138.5116009,0,22,39.73544882,AUS00210
1,8000,49685,81020,HomeImp,Other,2,0,3,129.3624659,0,15,47.00097522,HK00009
1,8000,28000,41950,DebtCon,Office,2,0,0,103.4,1,20,,HK00018
1,8000,61000,90450,HomeImp,Other,4,2,1,139.8666667,0,9,,HK00027
1,8000,58000,73750,DebtCon,Mgr,22,0,4,221.4333333,1,20,,HK00036
1,8000,33689.3,48000,DebtCon,Other,3,0,0,103.7333333,0,13,,HK00045
1,8000,47306,68350,HomeImp,Other,9,0,0,82.63333333,0,20,,HK00054
0,8000,45000,56100,HomeImp,Other,9.9,0,0,92.3,3,34,,HK00063
0,8000,69341,86900,DebtCon,Office,15,0,1,89.26666667,0,9,,HK00072
0,8000,70917,83500,DebtCon,Mgr,8,0,0,107.5,0,23,,HK00081
0,8000,,34226,HomeImp,Other,,,1,75.36666667,1,10,,HK00091
0,8000,38758,46466.26,HomeImp,Mgr,21,1,1,229.3,1,18,,HK00100
0,8000,63700,79754,DebtCon,,3.8,0,0,208,0,16,,HK00109
0,8000,41000,54000,DebtCon,Mgr,4,0,0,189.7,1,22,,HK00118
0,8000,65000,93600,DebtCon,Other,16,,,140.0666667,4,16,,HK00127
1,8000,37871,,HomeImp,ProfExe,15,6,2,179.6333333,0,30,,HK00136
1,8000,4500,,DebtCon,Other,1,3,2,102.4333333,6,15,,HK00145
1,8000,63152,,DebtCon,Other,9,1,1,132.9,1,26,,HK00154
1,8000,86804,113000,DebtCon,Other,7,1,3,145.1666667,1,20,,HK00163
1,8000,92487,113947,DebtCon,Other,8,0,3,151.8173887,0,19,26.45752445,HK00172
0,8000,57361,71167,HomeImp,Mgr,2,0,1,130.767035,0,22,29.38198545,HK00182
0,8000,,49000,HomeImp,Other,11,1,0,310.4,2,13,,HK00191
0,8000,84730,123455,HomeImp,Other,9,,,,,,40.03264933,HK00200
0,8000,58006,94930,HomeImp,ProfExe,4,0,0,223.2029895,2,24,30.91339584,HK00209
0,8000,,68572,HomeImp,Office,1,0,0,53.93513771,0,4,37.7039115,HK00218
0,8100,43553,88242,DebtCon,,2,0,0,207.9404687,4,30,31.32965172,HK00227
0,8100,84822,123854,HomeImp,Office,31,0,0,340.7444307,2,38,36.20511455,HK00236
0,8100,81322,97823,DebtCon,ProfExe,3,0,0,118.468506,0,25,32.71677759,HK00245
0,8100,13179,32981,,,,,,,,,31.74224928,HK00254
0,8100,69047,82113,DebtCon,Sales,3,0,0,121.4111489,0,30,35.07391836,HK00263
0,8100,26886,36527,HomeImp,ProfExe,12,0,0,188.4198264,0,13,24.86556719,HK00273
1,8100,28523,39816,DebtCon,Other,5,0,0,130.6439333,0,16,37.39352642,HK00282
0,8100,28187,32584,DebtCon,Other,0,1,0,27.04883471,10,7,29.28795683,HK00291
0,8100,50373,65865,DebtCon,Office,5,0,0,99.59816995,2,11,38.91015083,HK00300
0,8200,10909,37286,DebtCon,Other,3,0,0,268.2546017,0,12,22.23295281,HK00309
0,8200,,50061,HomeImp,Other,10,0,0,296.9016386,1,13,33.63213652,HK00318
0,8200,62603,86782,DebtCon,ProfExe,15,0,0,219.5658125,0,18,24.63662135,HK00327
0,8200,117314,132770,DebtCon,Self,4,0,1,176.3345415,0,19,34.55205243,HK00336
0,8200,172497,249071,DebtCon,Sales,,0,0,114.9819744,0,21,41.09802515,HK00345
0,8200,68013,77008,DebtCon,ProfExe,8,0,0,49.1469223,1,23,40.7925897,HK00354
1,8200,47700,60000,DebtCon,Other,0.1,0,0,,0,0,,HK00364
1,8200,87979,94854,HomeImp,ProfExe,10,0,0,108.4790238,3,19,41.2706826,HK00373
0,8200,80989,105080,DebtCon,Mgr,1,0,0,81.3547953,1,24,38.4757705,HK00382
0,8200,48515,59240,DebtCon,Other,17,0,4,214.1445097,0,36,27.45914423,HK00391
0,8200,79751,125413,HomeImp,Other,7,,,,,,41.98555729,HK00400
0,8200,13392,34254,DebtCon,Other,3,0,0,267.9186416,0,11,21.92999049,HK00409
0,8300,57503,72704,DebtCon,,18,0,0,156.5937076,0,11,33.33711876,HK00418
0,8300,61213,65798,HomeImp,Other,6,0,0,86.29651576,2,20,41.42687223,HK00427
0,8300,59761,75081,DebtCon,,17,0,0,147.9416425,1,11,31.95922724,HK00436
1,8300,,47244,HomeImp,Other,6,,,,,,,HK00445
0,8300,178745,251935,DebtCon,Sales,,0,0,130.7309108,0,22,42.35805988,HK00455
0,8300,67715,86945,DebtCon,ProfExe,14,0,0,221.4749248,0,17,25.19429721,HK00464
